iter	RMSE
0	37.19376861
1	35.67367137
2	34.19651307
3	32.70983676
4	31.32924963
5	29.92910715
6	28.68086018
7	27.39616203
8	26.20535289
9	25.09180083
10	23.95237551
11	22.94277104
12	21.96611866
13	21.01610854
14	20.10835993
15	19.22519217
16	18.42830366
17	17.66341917
18	16.91444676
19	16.2549412
20	15.60859035
21	14.93397598
22	14.33756571
23	13.7701356
24	13.22616685
25	12.72262165
26	12.21109542
27	11.70384318
28	11.25528887
29	10.84827356
30	10.42621138
31	10.02038584
32	9.654162076
33	9.319059532
34	8.991014359
35	8.654482178
36	8.381938096
37	8.081509538
38	7.815741533
39	7.550023432
40	7.310699903
41	7.055251391
42	6.8109698
43	6.597478531
44	6.392846044
45	6.192016371
46	6.002841768
47	5.822189608
48	5.653329397
49	5.480139761
50	5.329829847
51	5.182077323
52	5.052406686
53	4.91498788
54	4.782667187
55	4.667269165
56	4.54085069
57	4.426225052
58	4.399572034
59	4.305519351
60	4.210400097
61	4.187474008
62	4.161427345
63	4.136998088
64	4.041600575
65	3.978757613
66	3.953762014
67	3.875783968
68	3.819356531
69	3.793998005
70	3.768090832
71	3.746212053
72	3.72422715
73	3.700934056
74	3.679951077
75	3.659826442
76	3.640474706
77	3.558917451
78	3.53845487
79	3.520771339
80	3.501730979
81	3.423040986
82	3.404911123
83	3.388328168
84	3.31764508
85	3.246336733
86	3.229135152
87	3.212635707
88	3.195560932
89	3.180880568
90	3.110632073
91	3.093117363
92	3.078541841
93	3.038515765
94	3.023073527
95	3.009593436
96	2.946327646
97	2.928968838
98	2.863173498
99	2.847767698
100	2.832102451
101	2.819683144
102	2.758500225
103	2.74624317
104	2.734191395
105	2.722303011
106	2.707389907
107	2.663258612
108	2.652087277
109	2.640975947
110	2.582818977
111	2.570192193
112	2.560067364
113	2.531005021
114	2.485259044
115	2.475007505
116	2.465096548
117	2.45759068
118	2.422198318
119	2.409374411
120	2.361659215
121	2.351942712
122	2.341972817
123	2.332325877
124	2.323774288
125	2.314622134
126	2.281089909
127	2.270057246
128	2.262279137
129	2.25360262
130	2.213365744
131	2.204597516
132	2.179218878
133	2.157784382
134	2.136444296
135	2.129499307
136	2.12198554
137	2.100064119
138	2.064955606
139	2.057693973
140	2.049860024
141	2.041705047
142	2.034747734
143	2.006028291
144	1.998843977
145	1.991377527
146	1.965695913
147	1.958920989
148	1.953556813
149	1.948336335
150	1.943011958
151	1.908776592
152	1.881455919
153	1.849353189
154	1.823943009
155	1.818593167
156	1.812687726
157	1.788887037
158	1.772715119
159	1.766766892
160	1.761131816
161	1.756271461
162	1.730980895
163	1.702614847
164	1.697216182
165	1.692257909
166	1.675527643
167	1.671652073
168	1.665955795
169	1.660993858
170	1.63556165
