iter	Passed	Remaining
0	31	31112
1	71	35883
2	85	28298
3	110	27629
4	138	27470
5	144	23909
6	151	21493
7	174	21673
8	181	19937
9	184	18223
10	187	16864
11	191	15760
12	194	14738
13	198	13949
14	201	13261
15	207	12778
16	211	12212
17	216	11795
18	219	11315
19	223	10945
20	227	10606
21	230	10237
22	233	9923
23	237	9664
24	241	9405
25	244	9170
26	247	8929
27	250	8700
28	255	8551
29	258	8343
30	260	8151
31	263	7980
32	266	7803
33	268	7633
34	272	7515
35	275	7373
36	277	7229
37	280	7096
38	283	6980
39	286	6881
40	289	6768
41	292	6663
42	294	6554
43	297	6458
44	299	6364
45	303	6300
46	306	6212
47	309	6128
48	311	6049
49	314	5968
50	317	5900
51	320	5844
52	323	5778
53	326	5722
54	329	5667
55	333	5615
56	336	5560
57	339	5507
58	341	5446
59	343	5385
60	346	5328
61	347	5256
62	351	5222
63	352	5148
64	354	5098
65	357	5053
66	359	5008
67	362	4962
68	365	4926
69	368	4892
70	370	4851
71	371	4791
72	374	4751
73	376	4714
74	379	4680
75	381	4636
76	383	4593
77	385	4560
78	388	4528
79	390	4488
80	392	4457
81	396	4437
82	399	4411
83	401	4379
84	404	4351
85	406	4324
86	408	4283
87	410	4255
88	414	4238
89	415	4201
90	418	4177
91	421	4160
92	423	4130
93	426	4111
94	430	4096
95	432	4071
96	435	4049
97	437	4024
98	439	4001
99	441	3976
100	445	3965
101	447	3943
102	450	3921
103	451	3891
104	453	3861
105	455	3845
106	458	3827
107	462	3823
108	464	3798
109	467	3778
110	469	3758
111	471	3740
112	472	3710
113	475	3694
114	478	3681
115	481	3665
116	483	3651
117	486	3635
118	488	3617
119	490	3598
120	494	3589
121	496	3572
122	498	3552
123	501	3541
124	503	3527
125	506	3512
126	510	3507
127	512	3493
128	515	3478
129	517	3461
130	519	3449
131	522	3434
132	525	3426
133	528	3415
134	532	3411
135	534	3396
136	536	3381
137	540	3377
138	543	3365
139	545	3351
140	548	3340
141	550	3327
142	552	3313
143	555	3304
144	558	3295
145	561	3283
146	563	3271
147	565	3257
148	567	3240
149	568	3220
150	570	3207
151	573	3201
152	576	3191
153	579	3180
154	581	3171
155	583	3158
156	587	3152
157	590	3146
158	593	3137
159	595	3128
160	598	3118
161	600	3106
162	603	3099
163	607	3095
164	609	3085
165	611	3073
166	614	3064
167	617	3055
168	620	3051
169	623	3044
170	626	3038
171	629	3028
172	631	3018
173	635	3015
174	637	3007
175	640	2997
176	642	2988
177	645	2979
178	647	2969
179	649	2956
180	652	2954
181	655	2945
182	657	2935
183	659	2926
184	662	2918
185	665	2912
186	668	2905
187	670	2897
188	673	2888
189	675	2879
190	677	2870
191	680	2863
192	684	2860
193	686	2851
194	688	2843
195	694	2848
196	696	2839
197	700	2837
198	702	2828
199	705	2820
200	707	2811
201	710	2805
202	712	2797
203	724	2827
204	727	2819
205	730	2814
206	733	2809
207	735	2800
208	738	2795
209	741	2788
210	743	2780
211	746	2774
212	749	2768
213	751	2760
214	754	2753
215	756	2745
216	759	2740
217	762	2736
218	765	2728
219	768	2722
220	770	2716
221	772	2708
222	775	2700
223	778	2696
224	781	2690
225	783	2683
226	786	2677
227	788	2670
228	790	2662
229	793	2658
230	797	2653
231	799	2646
232	801	2638
233	803	2630
234	806	2625
235	810	2623
236	812	2616
237	815	2610
238	817	2603
239	820	2596
240	822	2590
241	825	2586
242	829	2584
243	833	2581
244	836	2576
245	838	2569
246	841	2566
247	845	2563
248	848	2557
249	850	2551
250	853	2547
251	855	2540
252	859	2536
253	861	2530
254	864	2525
255	866	2518
256	869	2512
257	871	2507
258	875	2504
259	876	2495
260	879	2489
261	881	2483
262	884	2477
263	886	2471
264	890	2469
265	893	2464
266	894	2455
267	896	2449
268	897	2439
269	900	2434
270	902	2428
271	906	2425
272	908	2420
273	911	2416
274	914	2410
275	917	2405
276	919	2400
277	923	2398
278	925	2392
279	929	2390
280	932	2385
281	934	2379
282	936	2372
283	938	2365
284	941	2360
285	943	2355
286	945	2349
287	948	2344
288	949	2335
289	951	2330
290	955	2327
291	957	2322
292	960	2317
293	962	2312
294	965	2306
295	966	2297
296	970	2296
297	972	2291
298	975	2286
299	976	2279
300	979	2274
301	982	2269
302	985	2266
303	988	2263
304	991	2258
305	992	2250
306	994	2245
307	997	2240
308	1000	2237
309	1003	2232
310	1005	2228
311	1008	2224
312	1011	2219
313	1013	2214
314	1018	2214
315	1021	2212
316	1025	2209
317	1029	2207
318	1033	2206
319	1037	2204
320	1041	2203
321	1045	2201
322	1049	2200
323	1053	2198
324	1057	2195
325	1060	2192
326	1064	2191
327	1067	2188
328	1071	2185
329	1075	2182
330	1079	2182
331	1083	2179
332	1086	2176
333	1089	2173
334	1094	2172
335	1097	2169
336	1101	2167
337	1105	2165
338	1110	2164
339	1113	2161
340	1116	2158
341	1120	2156
342	1123	2152
343	1129	2153
344	1132	2150
345	1136	2148
346	1140	2147
347	1144	2143
348	1147	2140
349	1150	2136
350	1152	2131
351	1156	2128
352	1159	2125
353	1162	2120
354	1165	2117
355	1168	2114
356	1173	2113
357	1176	2110
358	1179	2106
359	1182	2102
360	1186	2099
361	1190	2098
362	1194	2095
363	1197	2092
364	1200	2087
365	1203	2085
366	1207	2082
367	1210	2078
368	1213	2075
369	1217	2072
370	1222	2072
371	1225	2068
372	1228	2064
373	1231	2060
374	1233	2056
375	1237	2054
376	1241	2052
377	1246	2051
378	1250	2048
379	1254	2046
380	1257	2043
381	1261	2040
382	1264	2037
383	1268	2035
384	1272	2033
385	1276	2030
386	1280	2027
387	1284	2026
388	1287	2022
389	1295	2026
390	1312	2043
391	1325	2055
392	1336	2063
393	1352	2079
394	1367	2095
395	1382	2108
396	1393	2116
397	1406	2126
398	1417	2135
399	1431	2146
400	1441	2153
401	1448	2155
402	1452	2151
403	1456	2148
404	1460	2145
405	1469	2149
406	1476	2150
407	1481	2149
408	1485	2145
409	1487	2141
410	1490	2136
411	1494	2132
412	1498	2129
413	1502	2126
414	1506	2123
415	1509	2119
416	1513	2116
417	1518	2113
418	1522	2111
419	1527	2109
420	1530	2105
421	1534	2101
422	1537	2096
423	1540	2093
424	1544	2090
425	1547	2085
426	1551	2081
427	1554	2076
428	1557	2072
429	1560	2068
430	1563	2063
431	1565	2058
432	1567	2053
433	1570	2048
434	1574	2045
435	1577	2041
436	1581	2037
437	1583	2031
438	1586	2027
439	1589	2023
440	1592	2018
441	1595	2013
442	1597	2009
443	1600	2004
444	1603	1999
445	1607	1996
446	1609	1991
447	1612	1986
448	1614	1981
449	1617	1976
450	1619	1971
451	1623	1968
452	1626	1963
453	1630	1960
454	1632	1955
455	1636	1951
456	1639	1947
457	1641	1942
458	1644	1938
459	1646	1933
460	1649	1928
461	1652	1924
462	1655	1920
463	1658	1915
464	1660	1910
465	1663	1906
466	1666	1901
467	1669	1897
468	1671	1892
469	1674	1888
470	1677	1883
471	1680	1879
472	1683	1876
473	1687	1872
474	1689	1867
475	1692	1863
476	1695	1859
477	1698	1854
478	1702	1851
479	1705	1847
480	1707	1842
481	1710	1838
482	1713	1834
483	1717	1830
484	1720	1826
485	1725	1824
486	1728	1820
487	1733	1818
488	1736	1814
489	1739	1810
490	1742	1806
491	1745	1802
